event_id,method,n_files,n_real,prec_at_1,prec_at_3,recall_at_5,triage_sec,found_first,repo
elasticsearch-ev00067,pre_only,6,3,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00068,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00069,pre_only,3,2,0.0,0.6666666666666666,1.0,30,1,elasticsearch
elasticsearch-ev00070,pre_only,6,3,1.0,0.6666666666666666,0.6666666666666666,0,1,elasticsearch
elasticsearch-ev00071,pre_only,6,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00072,pre_only,6,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00073,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00074,pre_only,5,3,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00075,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00076,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00077,pre_only,6,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00078,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00079,pre_only,7,4,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00080,pre_only,7,4,1.0,1.0,0.75,0,1,elasticsearch
elasticsearch-ev00081,pre_only,6,3,0.0,0.6666666666666666,1.0,30,1,elasticsearch
elasticsearch-ev00082,pre_only,5,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00083,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00084,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00085,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00086,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00087,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00088,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00089,pre_only,5,3,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00090,pre_only,7,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00091,pre_only,8,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00092,pre_only,5,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00093,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00094,pre_only,8,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00095,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00096,pre_only,5,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00097,pre_only,7,4,1.0,1.0,0.75,0,1,elasticsearch
elasticsearch-ev00098,pre_only,6,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00099,pre_only,5,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00100,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00101,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00102,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
